ID,Last Name,First Name,Address,State,Phone Number,Salary (USD)
1001,Smith,John,"123 Elm St, Springfield",SC,555-123-4567,55000
1002,Johnson,Emily,"456 Oak Ave, Riverdale",SC,555-234-5678,62000
1003,Brown,Michael,"789 Pine Rd, Lakeside",WI,555-345-6789,58000
1004,Davis,Sarah,"321 Birch Blvd, Hilltown",NY,555-456-7890,60000
1005,Miller,David,"654 Maple Ln, Brookfield",TX,555-567-8901,61000
1006,Wilson,Laura,"987 Cedar St, Clearview",GA,555-678-9012,63000
1007,Moore,James,"135 Aspen Dr, Eastvale",SC,555-789-0123,54000
1008,Taylor,Jessica,"246 Willow Way, Greenhill",CA,555-890-1234,65000
1009,Anderson,Daniel,"369 Redwood Ct, Fairview",AL,555-901-2345,67000
1010,Thomas,Megan,"111 Poplar Pl, Rosemont",NM,555-012-3456,59000
